"indicador","estrato","formulacao","invertivel","loglik","bic","var_e","rrse","vicio"
"taxa","02 - Colar e Entorno","MA(2)",FALSE,-88.43,196.6,0,64.92,0
"taxa","02 - Colar e Entorno","MA(3)",FALSE,-94.38,208.5,0,63.57,0
"taxa","02 - Colar e Entorno","MA(4)",FALSE,-100.35,220.5,0,59.76,0
"taxa","03 - Sul de Minas","AR(1)",NA,-75.08,169.9,0.436,30.51,-0.11
"taxa","03 - Sul de Minas","AR(2)",NA,-76.36,172.5,0.413,31.52,-0.1
"taxa","03 - Sul de Minas","ARMA(1,1)",NA,-76.13,172,0.459,29.29,-0.13
"taxa","03 - Sul de Minas","MA(1)",TRUE,-76,171.8,0.544,26.18,-0.15
"taxa","03 - Sul de Minas","MA(2)",TRUE,-82.4,184.6,0.344,34.7,-0.09
"taxa","03 - Sul de Minas","MA(3)",FALSE,-88.46,196.7,0.4,30.81,-0.05
"taxa","03 - Sul de Minas","MA(4)",FALSE,-94.32,208.4,0.406,29.74,0.1
"taxa","04 - Triângulo Mineiro","AR(1)",NA,-67.52,154.8,0.493,36.62,0.09
"taxa","04 - Triângulo Mineiro","AR(2)",NA,-71.77,163.3,0.503,35.77,0.15
"taxa","04 - Triângulo Mineiro","ARMA(1,1)",NA,-68.82,157.4,0.399,43.02,0.12
"taxa","04 - Triângulo Mineiro","MA(1)",TRUE,-69.46,158.7,0.494,36.77,0.09
"taxa","04 - Triângulo Mineiro","MA(2)",TRUE,-76,171.8,0.5,35.74,0.13
"taxa","04 - Triângulo Mineiro","MA(3)",FALSE,-81.63,183,0.503,35.4,0.19
"taxa","04 - Triângulo Mineiro","MA(4)",FALSE,-88.18,196.1,0.506,34.25,0.03
"taxa","05 - Zona da Mata","AR(1)",NA,-72.96,165.7,0.621,27.47,-0.31
"taxa","05 - Zona da Mata","AR(2)",NA,-77.03,173.8,0.596,29.3,-0.11
"taxa","05 - Zona da Mata","ARMA(1,1)",NA,-76.28,172.3,0.128,41.82,0.02
"taxa","05 - Zona da Mata","MA(1)",TRUE,-75.06,169.9,0.602,28.09,-0.41
"taxa","05 - Zona da Mata","MA(2)",FALSE,-79.71,179.2,0.602,29.2,-0.16
"taxa","05 - Zona da Mata","MA(3)",FALSE,-86.31,192.4,0.615,28.04,-0.16
"taxa","05 - Zona da Mata","MA(4)",FALSE,-92.69,205.1,0.59,28.03,-0.26
"taxa","06 - Norte de Minas","AR(1)",NA,-86.64,193,0.511,25.74,0.02
"taxa","06 - Norte de Minas","AR(2)",NA,-90.48,200.7,0.437,28.81,0.06
"taxa","06 - Norte de Minas","ARMA(1,1)",NA,-87.63,195,0.344,36.26,0.07
"taxa","06 - Norte de Minas","MA(1)",TRUE,-88.43,196.6,0,46.86,0.09
"taxa","06 - Norte de Minas","MA(2)",FALSE,-93.42,206.6,0.476,27.19,0.08
