"indicador","estrato","processo","sigma2_L","sigma2_R","sigma2_S","sigma2_I","sigma2_e","convergencia","pert_melhora","pert_total","plano_S","plano_I","loglik","rrse","vicio","shapiro","ljung","H_p","dp_irregular"
"ocupados","03-Sul de Minas","AR(1)",0.349383298474991,4.45072086890777,2.12264750319634e-06,4.37491627982574e-06,0.465216398479,52,0,16,4.69677173100536e-05,0.000395740706466086,-234.143268246761,19.4481860427289,-0.739220580004208,0.015258895169237,0.947942217318021,0.963795301060253,8.46368695144854e-08
"ocupados","04-Triângulo Mineiro","AR(1)",7.8798509056714,7.85439740138014,4.98960039875322e-07,1.17311303842691e-06,0.397518217191,52,0,16,0.000867448641059809,0.00100532549012655,-252.911453916734,22.5524375964859,-2.70848711834141,0.0750940307504264,0.463690472615998,0.0711302311793975,2.32107298634373e-08
"ocupados","05-Mata de Minas Gerais","AR(1)",5.17034917762269,10.4187195219505,1.1204692931309e-06,1.5781860674568e-06,0.518372327964,52,0,16,0.00101118922560772,0.000450330146605893,-239.652047653879,15.5651324951678,-0.810241009955578,0.756820537978091,0.517466495647124,0.899729607630324,3.37414213209878e-08
"ocupados","06-Norte de Minas","AR(1)",607.694545731648,2.3813684497579,4.74970397623372e-07,0.00225306399591539,0.5274537436,0,0,16,1.27961089901873e-06,0.000949433237707353,-251.576697633912,11.5981290902113,-1.37112852044186,0.0230564980710764,0.552438903676446,0.595693445949255,4.37411144465163e-05
"ocupados","07-Vale do Rio Doce","AR(1)",4.50691157943595e-05,0.000451276085725567,0.00224576011518476,0.00013613473493343,0.386704270576,52,0,16,0.0836344121191814,1.92395654607935e-05,-230.713968322994,25.0177881651211,-2.27633988462543,0.0175499838309679,0.697080969480406,0.0884926476912738,3.307403243652e-06
"ocupados","08-Central","AR(1)",531.96907711199,1.26364321457521,3.07116770762158e-08,4.10878559377033e-08,0.5782017084,0,0,16,0.173459982261448,-0.707030921792295,-254.781807599934,16.6212501583809,-1.52550800850301,6.14297333901311e-05,0.682746720123304,0.25010142276559,7.44153055529879e-10
"taxa","01-Belo Horizonte","AR(1)",1.38778877096715e-05,0.102847949772277,2.06115362243856e-09,2.60195436279703e-06,0.926340954396,0,0,16,7.94435913462621e-05,0.000917200848945754,-71.889958596579,11.9341418513118,-0.0351516077129137,0.860128755053675,0.930851564555236,0.57424319775826,2.18827335261476e-06
"taxa","02-Colar e Entorno metropolitano de BH","MA(1)",2.06702614391871e-09,0.334979626692096,7.5250367306333e-08,3.93313053693504e-07,0.948479275184916,0,0,16,0.00151582862895339,0.000266924879582575,-83.0344418443151,7.57808361891394,0.218881440476659,0.169980312345502,0.0318565192199723,0.634690182352683,2.55886321203469e-07
"taxa","03-Sul de Minas","AR(1)",0.533400702977505,0.00509380921291123,2.06115362243856e-09,3.09873643894791e-06,0.874375830775,0,0,16,0.000129863653953066,0.00287981173478613,-75.5423684838734,8.78356262930127,-0.496916814421864,0.0512153640765831,0.0799294287948232,0.92619309719989,2.34899348474878e-06
"taxa","04-Triângulo Mineiro","AR(1)",4.24710750992375e-06,0.0431041468623969,2.06115362243856e-09,3.63244716205464e-07,0.960419693296,0,0,16,0.0001425309596641,0.000244734183866058,-69.2662108101893,20.6983565412185,-0.140813786627928,0.617874929257925,0.244022984603853,0.854002813486546,2.83698971907095e-07
"taxa","05-Mata de Minas Gerais","AR(1)",0.351424377279124,0.00233127973679015,1.82353468745549e-08,3.07133022483417e-07,0.9584125551,0,0,16,0.00100615343905019,0.000153325840599905,-73.4376704643195,17.3874030742013,-0.465685359492969,0.928257737850226,0.288403948317063,0.614906519304694,2.39668162482449e-07
"taxa","06-Norte de Minas","MA(1)",0.187333920572256,0.188992470699335,0.00910322561989105,3.14730491320362e-06,0.808271552590694,0,0,16,26.9238917041557,0.000313144055397174,-90.2030401195291,3.87742552197337,0.0524338046830505,0.145447358088181,0.0973699768715784,0.504889277069104,1.76286653566917e-06
"taxa","07-Vale do Rio Doce","AR(1)",1.03207047136381,0.00999990981054699,4.97968645293056e-08,4.97152928311266e-08,0.858295185031,0,0,16,0.00134234864007965,2.44961563282686e-05,-88.782909181235,7.27705839824435,-0.291536823525966,0.852013510716633,0.359727499971738,0.229502266067839,2.87935417594764e-08
"taxa","08-Central","AR(3)",0.000293874019647496,0.165315996832214,2.06115362243859e-09,8.60572819743425e-07,0.897760394371853,0,0,16,0.000139940194614496,0.000500761255622706,-87.7985623214834,8.46162092807166,-0.802247282601368,0.132522026718527,0.13366704493442,0.112609863567291,6.68006881531038e-07
